Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2004","2004","t","397940","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2005","2005","t","352480","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1994","1994","t","1155182","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1995","1995","t","1213411","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1996","1996","t","1252196","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1997","1997","t","1143336","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1998","1998","t","1149552","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","1999","1999","t","1319632","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2000","2000","t","1599920","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2001","2001","t","2129309","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2002","2002","t","1684986","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2003","2003","t","1829384","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2004","2004","t","1797343","A","Official figure",""
"TCL","Crops and livestock products","608","Philippines","5910","Export quantity","01312","Bananas","2005","2005","t","2024322","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1994","1994","t","10262","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1995","1995","t","15387","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1996","1996","t","12753","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1997","1997","t","60000","I","Imputed value",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1998","1998","t","40000","I","Imputed value",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","1999","1999","t","35000","I","Imputed value",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2000","2000","t","30000","I","Imputed value",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2001","2001","t","47000","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2002","2002","t","7700","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2003","2003","t","3337","A","Official figure",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2004","2004","t","110000","I","Imputed value",""
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export quantity","01312","Bananas","2005","2005","t","110000","I","Imputed value",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1994","1994","t","383216","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1995","1995","t","397546","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1996","1996","t","408741","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1997","1997","t","418823","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1998","1998","t","416520","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","1999","1999","t","418813","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2000","2000","t","400188.3","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2001","2001","t","406968","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2002","2002","t","416600","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2003","2003","t","427543","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2004","2004","t","445757","A","Official figure",""
"TCL","Crops and livestock products","840","United States of America","5910","Export quantity","01312","Bananas","2005","2005","t","449647","A","Official figure",""
